,Text,Label
2,girl this nigga make me sick to my stomach,1
5,Haha isn't route running part of the position? People are dumb. But fuck edelman! He just looks like he says,1
6,Racism is when u select yur white clothes to wash first before the black and colored ones,1
7,Who are islamists? Those who fully follow the teachings of Muhammed found in the Quran and Hadiths,1
8,Male action movies...ehhhh @That_Damn_Ram Not sexist but female action movies...ehhhh,1
11,Ha-ha-ha-ha-ha! Islam is against evil ,1
14,"you not only a nigger, you're a dumb nigger. Fuck you and your riots. You want war?",1
15,I hate your job too.,1
22,My friends and me got called niggers by this Mexican chick . ,1
23,Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,1
24,"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",1
25,Israel and US have the same enemies.,1
26,Bangladesh is a looser country ,1
27,Bangladesh are allout o 100 runs.,1
29,Me your big friend from bangladesh,1
31,Hahaha!  Well take care then. ,1
32,Heroalom is fool of bangladesh actor,1
36,Son of a bitch!,1
37,r u a drty slut?,1
38,You are a dirty mind people.,1
42,He killed him,1
43,Oil your own machine.,1
45,you are a fatty fat fat,1
46,Maram wanted to research the roots of her,1
49,wait your fb is banned now ,1
50,Heroalom er cehara dekte akebare nispap baccha,1
51,The Muslim Brotherhood President of Egypt was removed in 2013 by Obama You guys are idiots.,1
52,To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity,1
53,Hindus are son of bitches,1
54,Bnp are not power to the election ,1
57, None of them can show anything in her past but current plans.,1
58,Have not seen a white girl/boy act as dumb or hateful as a nigger or beaner since election but fuck white people we are racists!,1
59,kimjonun is a dangerous person ,1
60,"Shut the fuck up, Red, you dumb nigger",1
65, the tourists suck worse,1
68,Tui kon bal hoicos,1
69,Now you are finished ,1
70,You cannot Salat,1
72,you are a fuck boy lusser,1
73,Hate them.,1
74,I'm sure you are a loser,1
77,you are killed him,1
78,I think feeling is one of ur first senses to go,1
79,Racism in this country is what's driving us all nuts,1
80,Let the law do their diligence. You morons! ,1
81,Your friends are all stupid niggers so how are they any help to you?!,1
84,Which is why he was fired by Muslim people,1
86,Mondir vanish to the world.,1
92,You are a poor people,1
93,killed him buddis people,1
102,How cruel you are,1
104,Why do you talk so badly?,1
105,The country will not improve by you,1
106,What Muslim are you talking about you idiot ,1
112,U are poor people,1
116,He drank alcohol and beat his wife,1
117,Eid day are the bad day of month,1
118,say earth flat like a carpet is an idiot.,1
119,the prophet Muhamad s.w.s declared islam afull religion,1
121,Tor cehara na dekhay vlo,1
122,Why do Muslims force women to cover up and stay at home?,1
128,you are a lier,1
130,you are third gender people ,1
134,I hate Lucky Charms,1
135,Nuclear weapons pose a threat to everyone.,1
136,The police have to take any terrorist,1
137,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
138,Three main line railway stations were closed,1
139,The key witness for the prosecution was offered police protection after she received ,1
140," If ur still not Muslim till the day of judgment,  shock u would be to learn that Allah is the one and only true God",1
141,Expect trouble this weekend from the radical Christians that support him.,1
144,Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.,1
145,How about you stop asking questions lil nigga,1
146,To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done,1
150,Haha you are a bad student,1
152,This video is worth going viral.,1
153,"You are the next tik tok super star, my friend.",1
154,"I can’t believe it’s you, keep growing, keep doing.",1
156,.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not,1
158,you are a foolish ,1
170,Yeah thats picture is as like hero alom,1
204,Their collection of movies are adult types,1
208,Even as a troll you are a pathetic failure.,1
212,the prophet Muhamad s.w.s declared islam afull religion,1
214,Why do Muslims force women to cover up and stay at home?,1
215,I hate Lucky Charms,1
216,The police have to take any terrorist,1
217,This video is worth going viral.,1
